Tabelle: 43311-0001
Elektrizitätserzeugung, Nettowärmeerzeugung,;;;;;
Brennstoffeinsatz: Deutschland, Jahre, Energieträger;;;;;
Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;;;;;;;;;
Deutschland;;;;;;;;;
;;Elektrizitätserzeugung (brutto);;Elektrizitätserzeugung (netto);;Nettowärmeerzeugung;;Brennstoffeinsatz;
;;MWh;MWh;MWh;MWh;MWh;MWh;GJ;GJ
;Biogas;111150;e;106539;e;112093;e;1251732;e
;Biomethan (Bioerdgas);-;;-;;-;;-;
;Klärgas;32774;e;30188;e;54662;e;523448;e
;Deponiegas;126844;e;114831;e;64927;e;1402226;e
;Sonstige erneuerbare Energien;426;e;426;e;-;;-;
;Klärschlamm;150160;e;136941;e;20650;e;1520609;e
;Abfall (Hausmüll, Industrie);9352548;e;7283341;e;11955268;e;176552896;e
;Abfall (Industrie);1079469;e;867999;e;1438030;e;20792421;e
;Abfall (Hausmüll, Siedlungsabfälle);8273079;e;6415342;e;10517238;e;155760475;e
;Kernenergie;134932034;e;127690281;e;-;;-;
;Wärme;-;;-;;-;;-;
;Strom (Elektrokessel);-;;-;;-;;-;
;Sonstige Energieträger;538782;e;507018;e;484856;e;7523970;e
;Andere Speicher;-;;-;;-;;-;
;Insgesamt;478640061;e;446467075;e;108865530;e;3243136349;e
2010;Steinkohlen;108403830;e;99705955;e;34644761;e;1066328645;e
;Steinkohlenkoks;-;;-;;-;;-;
